a,b,c
0,0,197496
0,1,1334843
0,2,15858947
0,3,1148916
0,4,956403
0,5,1049805
0,6,114304
0,7,106326
0,8,47502678
0,9,1494238
0,10,1042950
0,11,2506938
0,12,1534526
0,13,5652462
0,14,2164813
0,15,10067775
0,16,5619309
0,17,280423
0,18,8936
0,19,683056
0,20,170027
0,21,2697769
0,22,62071105
0,23,562207
0,24,8123
0,25,976897
0,26,184790
1,0,197120
1,1,592427
1,2,3880684
1,3,603609
1,4,458230
1,5,649577
1,6,133158
1,11,2850662
1,12,1370429
1,13,2800157
1,14,1658876
1,15,6911021
1,16,4325598
2,0,197120
